Id,SalePrice
1461,130448.56
1462,160773.5
1463,191046.9
1464,188591.55
1465,179371.47
1466,173171.06
1467,175793.84
1468,171423.34
1469,180602.92
1470,125011.766
1471,200829.17
1472,94235.37
1473,94482.38
1474,147100.19
1475,138042.62
1476,375465.1
1477,253927.75
1478,302976.6
1479,242479.02
1480,494066.72
1481,312132.94
1482,212317.9
1483,170888.69
1484,171333.25
1485,167115.4
1486,203651.55
1487,299134.6
1488,219667.89
1489,213008.31
1490,194992.19
1491,187512.12
1492,89923.805
1493,174274.83
1494,285137.47
1495,303594.28
1496,218714.75
1497,189313.89
1498,153653.28
1499,154985.22
1500,155273.53
1501,178829.7
1502,144667.47
1503,305840.44
1504,236487.72
1505,220287.61
1506,184327.67
1507,227701.34
1508,205590.83
1509,160507.72
1510,156519.6
1511,148628.66
1512,177630.38
1513,134613.27
1514,166482.36
1515,199916.75
1516,151724.48
1517,155215.72
1518,124741.35
1519,234103.98
1520,136091.69
1521,148296.55
1522,172698.1
1523,117943.35
1524,130483.53
1525,125374.84
1526,124290.51
1527,103898.555
1528,137437.61
1529,142321.9
1530,159420.5
1531,118040.8
1532,95174.016
1533,154667.64
1534,113980.17
1535,158785.17
1536,113940.49
1537,67311.79
1538,158493.81
1539,180562.1
1540,104530.37
1541,139635.34
1542,142275.62
1543,227531.23
1544,87659.164
1545,108498.3
1546,123920.02
1547,146499.55
1548,124227.83
1549,113992.55
1550,146647.4
1551,119325.586
1552,151398.19
1553,131653.06
1554,112904.25
1555,185116.06
1556,93078.4
1557,119482.45
1558,99672.15
1559,103314.6
1560,131359.83
1561,148936.7
1562,126790.15
1563,119813.02
1564,144980.16
1565,154600.25
1566,255763.94
1567,74328.695
1568,237546.06
1569,130531.086
1570,135853.64
1571,142605.03
1572,151958.8
1573,268134.44
1574,106180.53
1575,211944.5
1576,232173.86
1577,205604.95
1578,122075.555
1579,150951.7
1580,196098.75
1581,144574.27
1582,137699.19
1583,321169.84
1584,236155.34
1585,139217.1
1586,70823.17
1587,105452.2
1588,150377.48
1589,103213.92
1590,141941.53
1591,110397.2
1592,117288.43
1593,126644.664
1594,204140.28
1595,113094.19
1596,227070.33
1597,167440.34
1598,185858.25
1599,186853.38
1600,184826.77
1601,80221.64
1602,108214.1
1603,92178.44
1604,271986.56
1605,247305.64
1606,176514.14
1607,157800.58
1608,211903.53
1609,196698.8
1610,169395.5
1611,148543.64
1612,160134.25
1613,154894.19
1614,107912.58
1615,86231.21
1616,73129.6
1617,87825.9
1618,126584.24
1619,136027.4
1620,153241.5
1621,146890.25
1622,152110.4
1623,306255.12
1624,220379.38
1625,115625.51
1626,166964.03
1627,186792.02
1628,290594.94
1629,172822.77
1630,363187.5
1631,221671.03
1632,227588.1
1633,168250.81
1634,184243.39
1635,181577.44
1636,154597.0
1637,195377.52
1638,198550.25
1639,183527.83
1640,279421.88
1641,186227.08
1642,238236.92
1643,221567.2
1644,233758.56
1645,177083.7
1646,158826.3
1647,158618.23
1648,120412.41
1649,137300.39
1650,109519.74
1651,127433.414
1652,94338.66
1653,95636.93
1654,153660.8
1655,141814.7
1656,149598.4
1657,158404.3
1658,145234.36
1659,139312.67
1660,151648.28
1661,463993.53
1662,399182.03
1663,392312.0
1664,516407.88
1665,317470.8
1666,353596.4
1667,395489.3
1668,325673.0
1669,289961.88
1670,345470.16
1671,267971.9
1672,532087.94
1673,297652.84
1674,254985.42
1675,190333.89
1676,182911.92
1677,218031.52
1678,470917.47
1679,450941.88
1680,332983.3
1681,250034.86
1682,318502.4
1683,182223.1
1684,169744.44
1685,178339.2
1686,166515.42
1687,167979.69
1688,196507.75
1689,205280.42
1690,193598.92
1691,178574.34
1692,265824.44
1693,166939.89
1694,184000.28
1695,170404.55
1696,273652.8
1697,172778.94
1698,381441.78
1699,324284.5
1700,245104.08
1701,254520.56
1702,247667.17
1703,261901.03
1704,309678.06
1705,229776.69
1706,507791.12
1707,253943.36
1708,225684.38
1709,253658.2
1710,227704.2
1711,265256.0
1712,241938.25
1713,287966.44
1714,217887.03
1715,213478.75
1716,185927.06
1717,174415.78
1718,136850.66
1719,197287.11
1720,241932.6
1721,166750.72
1722,113823.18
1723,152243.88
1724,221957.64
1725,223803.16
1726,183226.48
1727,156931.81
1728,192091.31
1729,168420.08
1730,168070.88
